estacion_origen,estacion_destino,duracion_recorrido,latitud_origen,longitud_origen,latitud_destino,longitud_destino,distancia_de_viaje
071  -  CERRITO,083  -  PARANA,971,-34.6026,-58.3838,-34.6031,-58.3893,0.5064509151740128
371  -  PASEO DE LAS AMERICAS,014  -  PACIFICO,1031,-34.553,-58.4352,-34.5782,-58.4266,2.910660444652973
112  -  9 DE JULIO,075  -  PLAZA PRIMERO DE MAYO,1180,-34.6121,-58.3805,-34.6123,-58.3989,1.6840254471682194
181  -  BILLINGHURST Y MANSILLA,113  -  GUATEMALA,454,-34.5926,-58.412,-34.5857,-58.4251,1.42362222189901
336  -  LA PAMPA,261  -  QUINTEROS LIDORO,658,-34.5656,-58.4555,-34.5523,-58.4509,1.5377144750383944
194  -  PERON Y ACUNA DE FIGUEROA,190  -  JUNCAL,1081,-34.606,-58.4227,-34.5852,-58.411,2.54876653743401
138  -  HOSPITAL BRITANICO,373  -  JORGELINA DE SIMONE,317,-34.6354,-58.3876,-34.624,-58.3906,1.2970001377934341
390  -  DE LOS OMBUES,390  -  DE LOS OMBUES,1557,-34.56,-58.428,-34.56,-58.428,0.0
010  -  MADERO UCA,018  -  INDEPENDENCIA,723,-34.617,-58.3658,-34.6176,-58.3803,1.3285642545456953
289  -  MONTANESES,396  -  PLAZA ALBERTI,231,-34.5514,-58.4541,-34.55571,-58.45789,0.5917349316011281
092  -  SALCEDO,137  -  AZOPARDO Y CHILE,1543,-34.6318,-58.4049,-34.6157,-58.3676,3.85406194969306
136  -  ACEVEDO,205  -  SAN MARTIN,512,-34.5998,-58.4428,-34.6057,-58.4532,1.1560493865973622
041  -  PARQUE PATRICIOS II,394  -  AV. LA PLATA,605,-34.6374,-58.4057,-34.64408,-58.42212,1.675773086115212
099  -  MALABIA,070  -  ARAOZ,523,-34.5963,-58.4357,-34.5927,-58.4258,0.9906701136868971
334  -  CENTRO DE EXPOSICIONES,335  -  GENERAL URQUIZA,1285,-34.5841,-58.3907,-34.5713,-58.4119,2.4068581314640585
309  -  UTN II,222  -  SIMON BOLIVAR,1582,-34.6605,-58.4676,-34.6334,-58.4493,3.4471490054992784
168  -  ESTADOS UNIDOS,162  -  LARREA Y BARTOLOME MITRE,844,-34.6185,-58.3815,-34.609,-58.4019,2.1450169532357464
233  -  MONROE,297  -  TRONADOR Y GARCIA DEL RIO,879,-34.5641,-58.4698,-34.5546,-58.4854,1.776687471274582
292  -  PLAZA BOLIVIA,114  -  DELLA PAOLERA,1936,-34.5635,-58.4367,-34.5949,-58.3724,6.844317134870992
089  -  CABELLO,251  -  SOLAR DE LA ABADIA,1319,-34.5825,-58.4054,-34.5675,-58.437,3.3395245256994674
184  -  PEDRO ECHAGUE,024  -  ALSINA,1247,-34.6307,-58.3912,-34.6108,-58.3806,2.4160328193361225
345  -  PLAZA MAFALDA,025  -  PLAZA GUEMES,1319,-34.5809,-58.4446,-34.5898,-58.4166,2.7476608408543584
121  -  YATAY,171  -  PASTEUR,1027,-34.6008,-58.4283,-34.603,-58.3996,2.6381766457823375
130  -  RETIRO II,387  -  LUNA,2200,-34.5927,-58.375,-34.63847,-58.3997,5.568752828498352
144  -  PUEYRREDON,085  -  AGUERO,577,-34.6021,-58.4061,-34.5945,-58.4089,0.8830882148702789
322  -  MARTI Y DIRECTORIO,352  -  SAN JOSE DE FLORES,474,-34.6365,-58.4701,-34.6289,-58.4627,1.0828445264747797
032  -  CATEDRAL,117  -  HUMBERTO 1°,618,-34.6072,-58.3735,-34.6199,-58.3742,1.4136277666956365
026  -  JUANA MANSO I,114  -  DELLA PAOLERA,382,-34.6009,-58.3638,-34.5949,-58.3724,1.0318648910259365
272  -  PLAZA BRUNO GIORDANO,074  -  INSTITUTO LELOIR,650,-34.6159,-58.4407,-34.6046,-58.4348,1.367606354183525
076  -  AYACUCHO,130  -  RETIRO II,1255,-34.607,-58.395,-34.5927,-58.375,2.4247439307698975
086  -  SAAVEDRA,092  -  SALCEDO,301,-34.6213,-58.4018,-34.6318,-58.4049,1.201508007246154
237  -  MADERO OFFICE,128  -  PARQUE DEL BAJO,358,-34.5991,-58.3645,-34.6052,-58.368,0.7501299122371984
397  -  PARQUE SANTOJANNI,302  -  ESTACION VILLA LURO,773,-34.6484,-58.5136,-34.637,-58.5014,1.6889310087265041
237  -  MADERO OFFICE,128  -  PARQUE DEL BAJO,411,-34.5991,-58.3645,-34.6052,-58.368,0.7501299122371984
381  -  MATIENZO Y ARCE,156  -  PLAZA ALEMANIA,850,-34.5688,-58.4343,-34.5778,-58.4073,2.666949528499187
136  -  ACEVEDO,044  -  ECOPARQUE,2441,-34.5998,-58.4428,-34.5758,-58.4143,3.7320841736486035
017  -  PLAZA ALMAGRO,117  -  HUMBERTO 1°,1818,-34.6064,-58.4185,-34.6199,-58.3742,4.323067700403743
118  -  MEXICO,018  -  INDEPENDENCIA,769,-34.6168,-58.4027,-34.6176,-58.3803,2.0517449937731262
165  -  PLAZA MONSENOR MIGUEL DE ANDREA,064  -  RIOBAMBA,739,-34.597,-58.4076,-34.594,-58.3945,1.2446261879010285
111  -  MACACHA GUEMES,018  -  INDEPENDENCIA,854,-34.6048,-58.3639,-34.6176,-58.3803,2.0684218002145816
292  -  PLAZA BOLIVIA,255  -  BARRANCAS DE BELGRANO,454,-34.5635,-58.4367,-34.5599,-58.4482,1.1265811494459703
121  -  YATAY,275  -  PLAZA 24 DE SEPTIEMBRE,559,-34.6008,-58.4283,-34.6071,-58.4485,1.9770590011370874
163  -  ONCE II,167  -  HIPOLITO YRIGOYEN,2962,-34.6088,-58.4061,-34.615,-58.4273,2.0589756688873027
030  -  PENA,328  -  SARMIENTO II,809,-34.5906,-58.3974,-34.6058,-58.3958,1.6964957595428998
082  -  HOSPITAL ITALIANO,099  -  MALABIA,737,-34.6074,-58.4262,-34.5963,-58.4357,1.5097817550224402
066  -  BILLINGHURST,275  -  PLAZA 24 DE SEPTIEMBRE,1446,-34.5947,-58.4139,-34.6071,-58.4485,3.4539985377644493
178  -  JOSE MARMOL,140  -  LAS CASAS,638,-34.6234,-58.4249,-34.6359,-58.4157,1.624957675346779
083  -  PARANA,083  -  PARANA,72,-34.6031,-58.3893,-34.6031,-58.3893,0.0
230  -  PASEO DE LA COSTANERA II,362  -  PARQUE DE LA MEMORIA,1077,-34.5519,-58.4266,-34.5429,-58.4351,1.2678914550255738
012  -  PLAZA VICENTE LOPEZ,046  -  CHILE,847,-34.5928,-58.3888,-34.6164,-58.3744,2.9365607974386663
272  -  PLAZA BRUNO GIORDANO,082  -  HOSPITAL ITALIANO,456,-34.6159,-58.4407,-34.6074,-58.4262,1.6291694286539318
168  -  ESTADOS UNIDOS,041  -  PARQUE PATRICIOS II,1108,-34.6185,-58.3815,-34.6374,-58.4057,3.052792452698571
024  -  ALSINA,091  -  PASCO,787,-34.6108,-58.3806,-34.6174,-58.3976,1.7201336318406562
281  -  VILLA URQUIZA,379  -  PARQUE SARMIENTO II,775,-34.5736,-58.4873,-34.5645,-58.5029,1.7504719102033541
171  -  PASTEUR,075  -  PLAZA PRIMERO DE MAYO,587,-34.603,-58.3996,-34.6123,-58.3989,1.036095328656501
261  -  QUINTEROS LIDORO,396  -  PLAZA ALBERTI,454,-34.5523,-58.4509,-34.55571,-58.45789,0.7440102846903254
251  -  SOLAR DE LA ABADIA,058  -  MINISTRO CARRANZA,581,-34.5675,-58.437,-34.5749,-58.4353,0.8374350249231984
044  -  ECOPARQUE,190  -  JUNCAL,958,-34.5758,-58.4143,-34.5852,-58.411,1.0880184739664747
352  -  SAN JOSE DE FLORES,350  -  PLAZA IRLANDA,750,-34.6289,-58.4627,-34.6131,-58.4572,1.827544102497996
280  -  JURAMENTO,315  -  BEIRO Y SAN MARTIN,868,-34.579,-58.4841,-34.5976,-58.4985,2.452590750424606
255  -  BARRANCAS DE BELGRANO,251  -  SOLAR DE LA ABADIA,1035,-34.5599,-58.4482,-34.5675,-58.437,1.3288914190512977
097  -  AVELINO DIAZ,322  -  MARTI Y DIRECTORIO,1953,-34.6353,-58.4275,-34.6365,-58.4701,3.8997151668912156
059  -  CORONEL DIAZ,161  -  HUMAHUACA,547,-34.5902,-58.4116,-34.6021,-58.4195,1.5079115779339654
113  -  GUATEMALA,190  -  JUNCAL,1689,-34.5857,-58.4251,-34.5852,-58.411,1.2919759497750507
079  -  AZUCENA VILLAFLOR,164  -  FACULTAD DE INGENIERIA,351,-34.612,-58.3639,-34.6173,-58.3669,0.65014172046192
128  -  PARQUE DEL BAJO,079  -  AZUCENA VILLAFLOR,646,-34.6052,-58.368,-34.612,-58.3639,0.8441102342229183
014  -  PACIFICO,242  -  PLAZOLETA RAFAEL DEL RIEGO,1392,-34.5782,-58.4266,-34.5674,-58.4464,2.174541858620764
184  -  PEDRO ECHAGUE,146  -  HOSPITAL FRANCES,814,-34.6307,-58.3912,-34.6222,-58.4077,1.7811900968825651
189  -  POSADAS,199  -  ESTADOS UNIDOS Y BOEDO,1854,-34.5885,-58.3855,-34.6224,-58.4158,4.679686259483216
292  -  PLAZA BOLIVIA,113  -  GUATEMALA,1129,-34.5635,-58.4367,-34.5857,-58.4251,2.687301761844611
335  -  GENERAL URQUIZA,165  -  PLAZA MONSENOR MIGUEL DE ANDREA,902,-34.5713,-58.4119,-34.597,-58.4076,2.8846946114737637
032  -  CATEDRAL,130  -  RETIRO II,646,-34.6072,-58.3735,-34.5927,-58.375,1.6181612698637766
354  -  JOSE MARTI,054  -  ACUNA DE FIGUEROA,2266,-34.6438,-58.463,-34.5982,-58.4219,6.3130042878279795
276  -  PRIMERA JUNTA,080  -  VALLE,441,-34.6204,-58.4412,-34.6244,-58.4342,0.7798103429700218
161  -  HUMAHUACA,383  -  BOEDO Y VENEZUELA,795,-34.6021,-58.4195,-34.6171,-58.4169,1.6848112128905348
101  -  FITZ ROY,242  -  PLAZOLETA RAFAEL DEL RIEGO,1886,-34.5891,-58.4423,-34.5674,-58.4464,2.441952080657039
008  -  CONGRESO,174  -  MINISTERIO DE EDUCACION,1235,-34.6101,-58.3891,-34.5972,-58.3918,1.4555451179311907
222  -  SIMON BOLIVAR,229  -  RIGLOS,411,-34.6334,-58.4493,-34.631,-58.4352,1.3173663149243757
098  -  BENITO JUAREZ,216  -  EMILIO LAMARCA,818,-34.619,-58.5047,-34.6133,-58.4933,1.2206681154325714
111  -  MACACHA GUEMES,130  -  RETIRO II,492,-34.6048,-58.3639,-34.5927,-58.375,1.6859654647470494
182  -  RAVIGNANI Y GUATEMALA,303  -  HUAURA,907,-34.5781,-58.4351,-34.5973,-58.4531,2.6968663286415446
126  -  MINISTERIO DE JUSTICIA Y SEGURIDAD,331  -  CALIFORNIA,501,-34.6401,-58.3693,-34.647,-58.3743,0.8932425428493885
290  -  CLUB EXCURSIONISTAS,289  -  MONTANESES,422,-34.5581,-58.4433,-34.5514,-58.4541,1.2382438865224867
378  -  AGRONOMIA,204  -  BIARRITZ,627,-34.5983,-58.4819,-34.6055,-58.4774,0.9003344801953804
093  -  CARLOS CALVO,163  -  ONCE II,658,-34.6207,-58.3944,-34.6088,-58.4061,1.7021446402593865
001  -  FACULTAD DE DERECHO,181  -  BILLINGHURST Y MANSILLA,967,-34.5842,-58.3905,-34.5926,-58.412,2.178531315784659
073  -  RUY DIAZ DE GUZMAN,137  -  AZOPARDO Y CHILE,539,-34.6305,-58.3716,-34.6157,-58.3676,1.685895602474594
373  -  JORGELINA DE SIMONE,091  -  PASCO,359,-34.624,-58.3906,-34.6174,-58.3976,0.9741054410416526
152  -  JULIETA LANTERI,164  -  FACULTAD DE INGENIERIA,274,-34.6181,-58.36,-34.6173,-58.3669,0.6376480834314248
164  -  FACULTAD DE INGENIERIA,289  -  MONTANESES,2527,-34.6173,-58.3669,-34.5514,-58.4541,10.836091336132553
005  -  PLAZA ITALIA,335  -  GENERAL URQUIZA,431,-34.5808,-58.4204,-34.5713,-58.4119,1.3120599286345724
065  -  JULIAN ALVAREZ,066  -  BILLINGHURST,366,-34.5873,-58.416,-34.5947,-58.4139,0.8449984692840682
270  -  PLAZA DEL ANGEL GRIS,352  -  SAN JOSE DE FLORES,812,-34.6218,-58.4577,-34.6289,-58.4627,0.9124659685159379
113  -  GUATEMALA,251  -  SOLAR DE LA ABADIA,636,-34.5857,-58.4251,-34.5675,-58.437,2.2983816588223
074  -  INSTITUTO LELOIR,001  -  FACULTAD DE DERECHO,1736,-34.6046,-58.4348,-34.5842,-58.3905,4.646339823187023
029  -  PARQUE CENTENARIO,028  -  PLAZA DE LA BANDERA,1530,-34.608,-58.4333,-34.6295,-58.4944,6.0808042100731585
258  -  PLAZA J.J. PASO,058  -  MINISTRO CARRANZA,628,-34.5691,-58.4538,-34.5749,-58.4353,1.8124739034432804
006  -  PARQUE LEZAMA,179  -  CASA SAN,535,-34.6282,-58.3694,-34.6385,-58.3643,1.2367106037064306
259  -  PLAZA CASTELLI,262  -  HOLMBERG,710,-34.5679,-58.4642,-34.5667,-58.4791,1.3708222694805234
292  -  PLAZA BOLIVIA,182  -  RAVIGNANI Y GUATEMALA,866,-34.5635,-58.4367,-34.5781,-58.4351,1.6300423663975814
249  -  BALBIN,014  -  PACIFICO,1056,-34.5614,-58.4657,-34.5782,-58.4266,4.038142403133226
070  -  ARAOZ,056  -  PLAZA PALERMO VIEJO,199,-34.5927,-58.4258,-34.5887,-58.4262,0.44628430930725393
391  -  PLAZA REPUBLICA DE ECUADOR,005  -  PLAZA ITALIA,619,-34.56553,-58.41986,-34.5808,-58.4204,1.6986662033546442
035  -  INGENIERO BUTTY,130  -  RETIRO II,364,-34.5962,-58.3718,-34.5927,-58.375,0.48709311543324285
274  -  GAVILAN,066  -  BILLINGHURST,1652,-34.615,-58.4666,-34.5947,-58.4139,5.325334627862307
174  -  MINISTERIO DE EDUCACION,009  -  PARQUE LAS HERAS,1173,-34.5972,-58.3918,-34.5855,-58.4077,1.952153444545085
150  -  RODRIGO BUENO,137  -  AZOPARDO Y CHILE,364,-34.6192,-58.3556,-34.6157,-58.3676,1.1650379021459008
381  -  MATIENZO Y ARCE,014  -  PACIFICO,518,-34.5688,-58.4343,-34.5782,-58.4266,1.260765013304979
147  -  CONSTITUCION,172  -  BRASIL,409,-34.6261,-58.3793,-34.6254,-58.3711,0.7543282342009215
030  -  PENA,012  -  PLAZA VICENTE LOPEZ,325,-34.5906,-58.3974,-34.5928,-58.3888,0.8243577503081679
281  -  VILLA URQUIZA,167  -  HIPOLITO YRIGOYEN,3026,-34.5736,-58.4873,-34.615,-58.4273,7.1662408440978185
393  -  BARRIO 31,121  -  YATAY,1882,-34.58309,-58.37782,-34.6008,-58.4283,5.0229362484935685
187  -  JOSE MARIA MORENO,054  -  ACUNA DE FIGUEROA,1098,-34.6202,-58.4356,-34.5982,-58.4219,2.7488812514605097
373  -  JORGELINA DE SIMONE,172  -  BRASIL,943,-34.624,-58.3906,-34.6254,-58.3711,1.79105463721632
345  -  PLAZA MAFALDA,110  -  PLAZA CD DE BANFF,2679,-34.5809,-58.4446,-34.6281,-58.5217,8.794287512371932
018  -  INDEPENDENCIA,273  -  PLAZOLETA COLOMBIA,1731,-34.6176,-58.3803,-34.6377,-58.3737,2.315164288209498
138  -  HOSPITAL BRITANICO,041  -  PARQUE PATRICIOS II,2389,-34.6354,-58.3876,-34.6374,-58.4057,1.6708075920413337
023  -  SUIPACHA,073  -  RUY DIAZ DE GUZMAN,1769,-34.6001,-58.3797,-34.6305,-58.3716,3.460642480164031
016  -  LEGISLATURA,137  -  AZOPARDO Y CHILE,625,-34.6099,-58.375,-34.6157,-58.3676,0.9351710917020541
244  -  UADE,006  -  PARQUE LEZAMA,788,-34.6171,-58.3815,-34.6282,-58.3694,1.6580967865176959
135  -  MARCELO T. DE ALVEAR,174  -  MINISTERIO DE EDUCACION,428,-34.5975,-58.3784,-34.5972,-58.3918,1.226975763093771
065  -  JULIAN ALVAREZ,205  -  SAN MARTIN,1358,-34.5873,-58.416,-34.6057,-58.4532,3.9724215995776953
029  -  PARQUE CENTENARIO,087  -  GUAYAQUIL,1041,-34.608,-58.4333,-34.6198,-58.4313,1.3248039382405519
005  -  PLAZA ITALIA,056  -  PLAZA PALERMO VIEJO,1078,-34.5808,-58.4204,-34.5887,-58.4262,1.026439809703933
116  -  HOSPITAL ALEMAN,130  -  RETIRO II,787,-34.5921,-58.4028,-34.5927,-58.375,2.5456019879302763
220  -  PLAZA FELIX LIMA,067  -  PARQUE SARMIENTO I,1245,-34.5418,-58.4704,-34.5553,-58.4948,2.6920607195595276
280  -  JURAMENTO,055  -  HABANA,354,-34.579,-58.4841,-34.5865,-58.4949,1.2934635406282295
114  -  DELLA PAOLERA,005  -  PLAZA ITALIA,1419,-34.5949,-58.3724,-34.5808,-58.4204,4.66535256439432
288  -  SECRETARIA DE DEPORTES,396  -  PLAZA ALBERTI,412,-34.5472,-58.4564,-34.55571,-58.45789,0.9560571499818752
218  -  CAMPANA,315  -  BEIRO Y SAN MARTIN,1125,-34.6168,-58.4842,-34.5976,-58.4985,2.5041553826103082
207  -  PLAZA ARENALES,275  -  PLAZA 24 DE SEPTIEMBRE,1192,-34.6001,-58.5117,-34.6071,-58.4485,5.836490786691785
102  -  ROSETI,102  -  ROSETI,61,-34.5864,-58.446,-34.5864,-58.446,0.0
036  -  MAIPU,183  -  VIRREY CEVALLOS,879,-34.6046,-58.3766,-34.6156,-58.3897,1.7127147416336008
257  -  PLAZA FRANCISCO RAMIREZ,262  -  HOLMBERG,725,-34.5531,-58.4689,-34.5667,-58.4791,1.7774526057326852
290  -  CLUB EXCURSIONISTAS,182  -  RAVIGNANI Y GUATEMALA,2153,-34.5581,-58.4433,-34.5781,-58.4351,2.3472237233927555
069  -  ECUADOR,328  -  SARMIENTO II,849,-34.5958,-58.4046,-34.6058,-58.3958,1.3730152618432379
028  -  PLAZA DE LA BANDERA,278  -  DONATO ALVAREZ,1230,-34.6295,-58.4944,-34.6021,-58.4655,4.034467124941029
106  -  MOSCONI Y CONSTITUYENTES,062  -  PARQUE ONEGA,1280,-34.5809,-58.4936,-34.5932,-58.5138,2.300002283344534
301  -  ARREGUI Y TERRADA,028  -  PLAZA DE LA BANDERA,1145,-34.6049,-58.4848,-34.6295,-58.4944,2.8730011857320785
061  -  MINISTERIO DE ECONOMIA,137  -  AZOPARDO Y CHILE,363,-34.6088,-58.3707,-34.6157,-58.3676,0.8180151197377709
165  -  PLAZA MONSENOR MIGUEL DE ANDREA,009  -  PARQUE LAS HERAS,552,-34.597,-58.4076,-34.5855,-58.4077,1.2787744196368194
359  -  PLAZA BALCARCE,220  -  PLAZA FELIX LIMA,3595,-34.5475,-58.4678,-34.5418,-58.4704,0.6770699541114695
029  -  PARQUE CENTENARIO,054  -  ACUNA DE FIGUEROA,562,-34.608,-58.4333,-34.5982,-58.4219,1.5086831450622953
064  -  RIOBAMBA,085  -  AGUERO,984,-34.594,-58.3945,-34.5945,-58.4089,1.3192749357007625
174  -  MINISTERIO DE EDUCACION,069  -  ECUADOR,344,-34.5972,-58.3918,-34.5958,-58.4046,1.1819122013634407
023  -  SUIPACHA,030  -  PENA,1431,-34.6001,-58.3797,-34.5906,-58.3974,1.9341030120150793
243  -  PLAZOLETA CELEDONIO FLORES,275  -  PLAZA 24 DE SEPTIEMBRE,3207,-34.5817,-58.4516,-34.6071,-58.4485,2.8385696755484915
067  -  PARQUE SARMIENTO I,233  -  MONROE,793,-34.5553,-58.4948,-34.5641,-58.4698,2.4896784082095693
393  -  BARRIO 31,130  -  RETIRO II,395,-34.58309,-58.37782,-34.5927,-58.375,1.0993228191379913
094  -  GUZMAN,366  -  VILLA OLIMPICA,8028,-34.5917,-58.4497,-34.6774,-58.4542,9.53829473710652
079  -  AZUCENA VILLAFLOR,111  -  MACACHA GUEMES,4720,-34.612,-58.3639,-34.6048,-58.3639,0.8006034718418482
272  -  PLAZA BRUNO GIORDANO,206  -  GALICIA,1329,-34.6159,-58.4407,-34.6158,-58.4708,2.75450707130178
264  -  PLAZA MARCOS SASTRE,264  -  PLAZA MARCOS SASTRE,2053,-34.5711,-58.4809,-34.5711,-58.4809,0.0
183  -  VIRREY CEVALLOS,186  -  MANZANA 66,886,-34.6156,-58.3897,-34.6135,-58.4061,1.5188629804854572
121  -  YATAY,082  -  HOSPITAL ITALIANO,314,-34.6008,-58.4283,-34.6074,-58.4262,0.758637243998847
162  -  LARREA Y BARTOLOME MITRE,118  -  MEXICO,612,-34.609,-58.4019,-34.6168,-58.4027,0.8704048756847327
150  -  RODRIGO BUENO,147  -  CONSTITUCION,656,-34.6192,-58.3556,-34.6261,-58.3793,2.3003578121632944
260  -  SAN MIGUEL DE GARICOITS,015  -  AMENABAR,674,-34.5772,-58.4576,-34.5719,-58.4475,1.0965510205075553
350  -  PLAZA IRLANDA,100  -  PLAZA GURRUCHAGA,1660,-34.6131,-58.4572,-34.5931,-58.4351,3.0061712064017487
274  -  GAVILAN,352  -  SAN JOSE DE FLORES,497,-34.615,-58.4666,-34.6289,-58.4627,1.5862732462506226
397  -  PARQUE SANTOJANNI,314  -  ALLENDE,1269,-34.6484,-58.5136,-34.6147,-58.5116,3.751734216460939
146  -  HOSPITAL FRANCES,167  -  HIPOLITO YRIGOYEN,689,-34.6222,-58.4077,-34.615,-58.4273,1.9641328658830182
014  -  PACIFICO,253  -  PLAZA COLEGIALES,1090,-34.5782,-58.4266,-34.5784,-58.4453,1.712176097170427
334  -  CENTRO DE EXPOSICIONES,281  -  VILLA URQUIZA,2830,-34.5841,-58.3907,-34.5736,-58.4873,8.920647283947334
036  -  MAIPU,174  -  MINISTERIO DE EDUCACION,703,-34.6046,-58.3766,-34.5972,-58.3918,1.6163419486037545
275  -  PLAZA 24 DE SEPTIEMBRE,111  -  MACACHA GUEMES,2402,-34.6071,-58.4485,-34.6048,-58.3639,7.746986171261069
005  -  PLAZA ITALIA,156  -  PLAZA ALEMANIA,2180,-34.5808,-58.4204,-34.5778,-58.4073,1.2448514326685551
164  -  FACULTAD DE INGENIERIA,169  -  FACULTAD DE PSICOLOGIA,1475,-34.6173,-58.3669,-34.6118,-58.4117,4.145126151015076
223  -  GAINZA,187  -  JOSE MARIA MORENO,451,-34.6168,-58.4467,-34.6202,-58.4356,1.0838178669812593
128  -  PARQUE DEL BAJO,003  -  ADUANA,245,-34.6052,-58.368,-34.6112,-58.3696,0.6830500286207708
266  -  PLAZA SABATTINI,158  -  VILLARROEL,760,-34.6124,-58.4433,-34.5925,-58.4452,2.2196017677693294
234  -  AVENIDA TRIUNVIRATO,104  -  FEDERICO LACROZE,1278,-34.5656,-58.4952,-34.5876,-58.4551,4.41168804048273
272  -  PLAZA BRUNO GIORDANO,229  -  RIGLOS,607,-34.6159,-58.4407,-34.631,-58.4352,1.7528440972364845
146  -  HOSPITAL FRANCES,285  -  ESPINOSA,2981,-34.6222,-58.4077,-34.604,-58.4572,4.961451831621457
091  -  PASCO,244  -  UADE,540,-34.6174,-58.3976,-34.6171,-58.3815,1.4736817427319426
023  -  SUIPACHA,172  -  BRASIL,1106,-34.6001,-58.3797,-34.6254,-58.3711,2.9212464140061862
292  -  PLAZA BOLIVIA,259  -  PLAZA CASTELLI,1269,-34.5635,-58.4367,-34.5679,-58.4642,2.565165837545687
163  -  ONCE II,150  -  RODRIGO BUENO,2018,-34.6088,-58.4061,-34.6192,-58.3556,4.763905404911003
112  -  9 DE JULIO,107  -  HOSPITAL GARRAHAN,1562,-34.6121,-58.3805,-34.6303,-58.3963,2.4871351960957417
276  -  PRIMERA JUNTA,167  -  HIPOLITO YRIGOYEN,1851,-34.6204,-58.4412,-34.615,-58.4273,1.406579800213252
117  -  HUMBERTO 1°,023  -  SUIPACHA,682,-34.6199,-58.3742,-34.6001,-58.3797,2.258464649416742
281  -  VILLA URQUIZA,173  -  EL LIBERTADOR,932,-34.5736,-58.4873,-34.5944,-58.5032,2.732768378693341
009  -  PARQUE LAS HERAS,093  -  CARLOS CALVO,2280,-34.5855,-58.4077,-34.6207,-58.3944,4.098982667975632
136  -  ACEVEDO,136  -  ACEVEDO,1373,-34.5998,-58.4428,-34.5998,-58.4428,0.0
091  -  PASCO,186  -  MANZANA 66,475,-34.6174,-58.3976,-34.6135,-58.4061,0.8905667162794512
006  -  PARQUE LEZAMA,006  -  PARQUE LEZAMA,1176,-34.6282,-58.3694,-34.6282,-58.3694,0.0
045  -  URUGUAY,189  -  POSADAS,407,-34.6022,-58.3866,-34.5885,-58.3855,1.5266943223139469
082  -  HOSPITAL ITALIANO,085  -  AGUERO,1218,-34.6074,-58.4262,-34.5945,-58.4089,2.1365356168411753
061  -  MINISTERIO DE ECONOMIA,003  -  ADUANA,399,-34.6088,-58.3707,-34.6112,-58.3696,0.2852240313737718
255  -  BARRANCAS DE BELGRANO,014  -  PACIFICO,1147,-34.5599,-58.4482,-34.5782,-58.4266,2.837638966008368
255  -  BARRANCAS DE BELGRANO,014  -  PACIFICO,950,-34.5599,-58.4482,-34.5782,-58.4266,2.837638966008368
345  -  PLAZA MAFALDA,399  -  GARCIA DEL RIO,1359,-34.5809,-58.4446,-34.55024,-58.4771,4.52536662837739
378  -  AGRONOMIA,224  -  BAIGORRIA,1546,-34.5983,-58.4819,-34.6106,-58.5029,2.35895538847361
026  -  JUANA MANSO I,018  -  INDEPENDENCIA,645,-34.6009,-58.3638,-34.6176,-58.3803,2.3934377754463765
075  -  PLAZA PRIMERO DE MAYO,075  -  PLAZA PRIMERO DE MAYO,1461,-34.6123,-58.3989,-34.6123,-58.3989,0.0
161  -  HUMAHUACA,120  -  HOSPITAL RAMOS MEJIA,754,-34.6021,-58.4195,-34.6175,-58.4092,1.9547065027307127
230  -  PASEO DE LA COSTANERA II,230  -  PASEO DE LA COSTANERA II,125,-34.5519,-58.4266,-34.5519,-58.4266,0.0
256  -  PLAZA NORUEGA,243  -  PLAZOLETA CELEDONIO FLORES,1213,-34.5622,-58.4594,-34.5817,-58.4516,2.2828840869629934
029  -  PARQUE CENTENARIO,136  -  ACEVEDO,560,-34.608,-58.4333,-34.5998,-58.4428,1.2599099568138519
059  -  CORONEL DIAZ,065  -  JULIAN ALVAREZ,279,-34.5902,-58.4116,-34.5873,-58.416,0.5159610990642636
029  -  PARQUE CENTENARIO,221  -  CULPINA,1165,-34.608,-58.4333,-34.6316,-58.4663,4.000644279173098
009  -  PARQUE LAS HERAS,089  -  CABELLO,1949,-34.5855,-58.4077,-34.5825,-58.4054,0.3944778325931866
089  -  CABELLO,162  -  LARREA Y BARTOLOME MITRE,1510,-34.5825,-58.4054,-34.609,-58.4019,2.964029783472998
111  -  MACACHA GUEMES,023  -  SUIPACHA,643,-34.6048,-58.3639,-34.6001,-58.3797,1.5376472188994748
174  -  MINISTERIO DE EDUCACION,064  -  RIOBAMBA,193,-34.5972,-58.3918,-34.594,-58.3945,0.4332307347193692
237  -  MADERO OFFICE,023  -  SUIPACHA,596,-34.5991,-58.3645,-34.6001,-58.3797,1.3956777904909308
168  -  ESTADOS UNIDOS,063  -  RECONQUISTA,939,-34.6185,-58.3815,-34.5985,-58.3728,2.3621360077490476
183  -  VIRREY CEVALLOS,071  -  CERRITO,443,-34.6156,-58.3897,-34.6026,-58.3838,1.543089411793299
014  -  PACIFICO,391  -  PLAZA REPUBLICA DE ECUADOR,651,-34.5782,-58.4266,-34.56553,-58.41986,1.5380689400465992
251  -  SOLAR DE LA ABADIA,251  -  SOLAR DE LA ABADIA,1755,-34.5675,-58.437,-34.5675,-58.437,0.0
289  -  MONTANESES,277  -  COGHLAN,869,-34.5514,-58.4541,-34.5658,-58.4755,2.530659834112359
194  -  PERON Y ACUNA DE FIGUEROA,161  -  HUMAHUACA,3883,-34.606,-58.4227,-34.6021,-58.4195,0.5232955520005074
