ID,NUMERO,NOMBRE,DIRECCION,BARRIO,COMUNA,EMPLAZAMIENTO,ANCLAJES,QUEDA ABIERTA,Latitud,Longitud
206,159,FITZ ROY Y GORRITI,Fitz Roy & Gorriti,PALERMO,COMUNA 14,CALZADA,16.0,1,-34.5849,-58.4372
222,160,GODOY CRUZ Y LIBERTADOR,3279 Godoy Cruz & Del Libertador Av.,PALERMO,COMUNA 14,CALZADA,20.0,1,-34.5728,-58.4207
161,161,HUMAHUACA,"3912 Humahuaca & Salguero, Jeronimo",ALMAGRO,COMUNA 5,CALZADA,20.0,1,-34.6021,-58.4195
162,162,LARREA Y BARTOLOME MITRE,"80 Larrea & Mitre, Bartolome",BALVANERA,COMUNA 3,VEREDA,20.0,1,-34.6090,-58.4019
163,163,ONCE II,"Mitre, Bartolome & Puerredon Av.",BALVANERA,COMUNA 3,PLAZA ABIERTA,30.0,1,-34.6088,-58.4061
164,164,FACULTAD DE INGENIERIA,Av. Paseo Colón 823,SAN TELMO,COMUNA 1,VEREDA,20.0,1,-34.6173,-58.3669
165,165,PLAZA MONSEÑOR MIGUEL DE ANDREA,"Anchorena, Tomas Manuel De, Dr. & Cabrera, Jose A.",RECOLETA,COMUNA 2,VEREDA,12.0,1,-34.5970,-58.4076
166,166,CEMENTERIO DE LA RECOLETA,"2000 Lopez, Vicente & Junin",RECOLETA,COMUNA 2,PLAZOLETA,20.0,1,-34.5886,-58.3942
204,167,HIPOLITO YRIGOYEN,"4300 Yrigoyen, Hipolito Av.",ALMAGRO,COMUNA 5,VEREDA,24.0,1,-34.6150,-58.4273
168,168,ESTADOS UNIDOS,Estados Unidos & Lima,CONSTITUCION,COMUNA 1,PLAZOLETA,16.0,1,-34.6185,-58.3815
169,169,FACULTAD DE PSICOLOGIA,"Yrigoyen, Hipolito & 24 De Noviembre",BALVANERA,COMUNA 3,PLAZA CERRADA,12.0,1,-34.6118,-58.4117
170,170,SAN LUIS Y ECUADOR,2862 San Luis & Ecuador,BALVANERA,COMUNA 3,CALZADA,20.0,0,-34.5997,-58.4060
171,171,PASTEUR,519 Pasteur & Lavalle,BALVANERA,COMUNA 3,CALZADA,20.0,1,-34.6030,-58.3996
172,172,BRASIL,Brasil & Defensa,SAN TELMO,COMUNA 1,PLAZA ABIERTA,16.0,1,-34.6254,-58.3711
