Id_recorrido,estacion_origen,estacion_destino,duracion_recorrido,latitud_origen,longitud_origen,latitud_destino,longitud_destino,distancia_de_viaje
17308180BAEcobici,114  -  DELLA PAOLERA,174  -  MINISTERIO DE EDUCACION,552,-34.5949,-58.3724,-34.5972,-58.3918,1.7940614214521051
17164823BAEcobici,219  -  PARQUE CHACABUCO II,049  -  33 ORIENTALES,815,-34.6363,-58.4439,-34.6288,-58.4223,2.1450003315655968
17209153BAEcobici,282  -  TRONADOR,300  -  JOSE ARTIGAS,295,-34.5841,-58.4663,-34.5903,-58.467,0.692380223389962
17183331BAEcobici,375  -  CIUDAD UNIVERSITARIA I,375  -  CIUDAD UNIVERSITARIA I,65,-34.5446,-58.4396,-34.5446,-58.4396,0.0
17333829BAEcobici,029  -  PARQUE CENTENARIO,029  -  PARQUE CENTENARIO,1526,-34.608,-58.4333,-34.608,-58.4333,0.0
17198168BAEcobici,074  -  INSTITUTO LELOIR,188  -  ARANGUREN,2245,-34.6046,-58.4348,-34.6104,-58.4328,0.670402359311486
17193578BAEcobici,255  -  BARRANCAS DE BELGRANO,391  -  PLAZA REPUBLICA DE ECUADOR,1023,-34.5599,-58.4482,-34.56553,-58.41986,2.6695265082798145
17207344BAEcobici,152  -  JULIETA LANTERI,152  -  JULIETA LANTERI,2293,-34.6181,-58.36,-34.6181,-58.36,0.0
17243283BAEcobici,335  -  GENERAL URQUIZA,005  -  PLAZA ITALIA,608,-34.5713,-58.4119,-34.5808,-58.4204,1.3120599286345724
17308750BAEcobici,200  -  AUSTRIA Y FRENCH,161  -  HUMAHUACA,880,-34.5883,-58.4043,-34.6021,-58.4195,2.0713321204545267
17170076BAEcobici,014  -  PACIFICO,345  -  PLAZA MAFALDA,669,-34.5782,-58.4266,-34.5809,-58.4446,1.6750452530240427
17328832BAEcobici,156  -  PLAZA ALEMANIA,059  -  CORONEL DIAZ,1005,-34.5778,-58.4073,-34.5902,-58.4116,1.4339093040106303
17341248BAEcobici,137  -  AZOPARDO Y CHILE,126  -  MINISTERIO DE JUSTICIA Y SEGURIDAD,948,-34.6157,-58.3676,-34.6401,-58.3693,2.717611317856955
17364760BAEcobici,164  -  FACULTAD DE INGENIERIA,164  -  FACULTAD DE INGENIERIA,2434,-34.6173,-58.3669,-34.6173,-58.3669,0.0
17160097BAEcobici,191  -  RIVADAVIA Y 9 DE JULIO,007  -  OBELISCO,799,-34.6084,-58.3808,-34.6058,-58.3807,0.28925163382488306
17217013BAEcobici,066  -  BILLINGHURST,258  -  PLAZA J.J. PASO,1540,-34.5947,-58.4139,-34.5691,-58.4538,4.630974278003028
17240437BAEcobici,025  -  PLAZA GUEMES,025  -  PLAZA GUEMES,83,-34.5898,-58.4166,-34.5898,-58.4166,0.0
17181012BAEcobici,021  -  PARQUE PATRICIOS,017  -  PLAZA ALMAGRO,1418,-34.6403,-58.4065,-34.6064,-58.4185,3.9261774836727605
17322325BAEcobici,056  -  PLAZA PALERMO VIEJO,136  -  ACEVEDO,2307,-34.5887,-58.4262,-34.5998,-58.4428,1.9576070886701347
17234780BAEcobici,171  -  PASTEUR,282  -  TRONADOR,1943,-34.603,-58.3996,-34.5841,-58.4663,6.457007049474617
17110924BAEcobici,152  -  JULIETA LANTERI,152  -  JULIETA LANTERI,1198,-34.6181,-58.36,-34.6181,-58.36,0.0
17154781BAEcobici,152  -  JULIETA LANTERI,006  -  PARQUE LEZAMA,1296,-34.6181,-58.36,-34.6282,-58.3694,1.4146042079671297
17155441BAEcobici,161  -  HUMAHUACA,163  -  ONCE II,577,-34.6021,-58.4195,-34.6088,-58.4061,1.4349554940427542
