Id_recorrido,estacion_origen,estacion_destino,duracion_recorrido,latitud_origen,longitud_origen,latitud_destino,longitud_destino,distancia_de_viaje
17106784BAEcobici,330  -  PARQUE AVELLANEDA,285  -  ESPINOSA,1538,-34.6423,-58.4783,-34.604,-58.4572,4.675975225188744
17352980BAEcobici,054  -  ACUNA DE FIGUEROA,056  -  PLAZA PALERMO VIEJO,508,-34.5982,-58.4219,-34.5887,-58.4262,1.12729907842657
17302994BAEcobici,336  -  LA PAMPA,182  -  RAVIGNANI Y GUATEMALA,962,-34.5656,-58.4555,-34.5781,-58.4351,2.3282310022027266
17274381BAEcobici,161  -  HUMAHUACA,171  -  PASTEUR,896,-34.6021,-58.4195,-34.603,-58.3996,1.8241102446682576
17266380BAEcobici,080  -  VALLE,347  -  CARABOBO,691,-34.6244,-58.4342,-34.626,-58.4553,1.938847053709449
17132529BAEcobici,051  -  TUCUMAN,161  -  HUMAHUACA,988,-34.6014,-58.3819,-34.6021,-58.4195,3.442282504843136
17183360BAEcobici,289  -  MONTANESES,251  -  SOLAR DE LA ABADIA,907,-34.5514,-58.4541,-34.5675,-58.437,2.378445750943952
17181035BAEcobici,135  -  MARCELO T. DE ALVEAR,147  -  CONSTITUCION,1125,-34.5975,-58.3784,-34.6261,-58.3793,3.1812413048444994
17328355BAEcobici,129  -  VELASCO,029  -  PARQUE CENTENARIO,618,-34.6002,-58.4349,-34.608,-58.4333,0.8795959083846894
17168532BAEcobici,010  -  MADERO UCA,001  -  FACULTAD DE DERECHO,1251,-34.617,-58.3658,-34.5842,-58.3905,4.291033111640166
17368252BAEcobici,002  -  RETIRO I,009  -  PARQUE LAS HERAS,1329,-34.5927,-58.3751,-34.5855,-58.4077,3.0897501165352588
